campaign,year,page,platform,media_type,category_l0,category_l1,category_l2,url,content,cost_nzd,views,hours,engagement
Organic | Website,2024,All Blacks,FB,Short Video,Collab & UGC,Mentions,NFL,https://www.facebook.com/reel/380304194621569/,put him in coach! caleb clarke is #superbowl2024 ready! 🏈 #allblacks,,0.0,0.0,0.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1114249584249652/,quick hands 💨,,240126.0,545.6508,3147.0
Organic | Website,2025,All Blacks,FB,Short Video,Live & Highlights,Social posts,NZLvFRA,https://www.facebook.com/reel/695331496709580/,quick hands. quick play ⚡️ ️first try back on home soil for jordie barrett 🖤 #nzlvfra,,788810.0,1178.7224,9995.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1106107051630915/,quick thinking from @rubenlove_ 🔝,,648156.0,668.4415,4710.0
Organic | Website,2025,All Blacks,FB,Short Video,Social,Live Promo,Sky,https://www.facebook.com/reel/823988350195159/,quinn tupaea bags his second before the half 🤜🏽 catch the next half live on sky sport 🎥,,271781.0,766.4983,6436.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/787990243619227/,quinn tupaea 😍,,379190.0,712.8177,9063.0
Organic | Website,2023,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/267102792949281/,"rain, hail or shine 🌧️☀️ there’s no stopping the front row daily show from bringing you a behind the scenes look at the all blacks training session in bordeaux! full episode is live exclusively on nzr+ 📺 link in bio! #allblacks",,0.0,0.0,0.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1855709048290618/,reactions 📈,,395430.0,774.8964,4881.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1787768035110384/,"ready to battle in the capital ⚒️ saturday 12 july, sky stadium wellington",,557159.0,983.9229,8488.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/662315816939977/,ready to go in perth 💪,,105094.0,130.2761,1665.0
Organic | Website,2023,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/2200326683488710/,ready to go!! 🤝🏽,,0.0,0.0,0.0
Organic | Website,2023,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/344833491364387/,ready to shift gears 🤜🏽🤛🏽 here we go!! #allblacks,,0.0,0.0,0.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1079091540430051/,recovery with a twist 🎶check out more in together we walk: https://bit.ly/twwepisode8,,117615.0,331.209,3927.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1676574369711280/,reminiscing the july series… back soon 👀,,47903.0,49.2671,915.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Moments,Respect,https://www.facebook.com/reel/1048688836958807/,respect 🤝,,296862.0,1551.2397,9801.0
Organic | Website,2025,All Blacks,FB,Short Video,Social,Moments,Respect,https://www.facebook.com/reel/807003645186095/,respect 🤝,,1643917.0,9781.9629,36889.0
Organic | Website,2025,All Blacks,FB,Short Video,Social,Moments,Respect,https://www.facebook.com/reel/674312659007708/,"respect. thank you @bokrugby, what a gesture 🙌",,2839681.0,11575.9064,95618.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1265423171303821/,return of @cam_roigard loading… 🔋,,109314.0,382.4512,2586.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/484754201049191/,rewind back to 1996 🎞️,,62502.0,81.6745,1099.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,NZU20s,https://www.facebook.com/reel/848584600371000/,rewind to 2014 ⏮️ where does the time go?! #nzu20s #allblacks,,151619.0,308.5564,2245.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/775584598250394/,rieko ioane in full flight 😮‍💨,,607419.0,4117.4896,13640.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1445051260128406/,rieko ioane leads kapa o pango for the first time 😤,,488817.0,2684.9678,16518.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1088202506767653/,rieko ioane with a huge play 💪,,652852.0,2090.1592,15152.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,SRP,https://www.facebook.com/reel/1075588917033546/,rieko in blue 🆚 rieko in black can't wait to see the boys back in action for #superrugbypacific 2024! 🤩 #allblacks,,0.0,0.0,0.0
Organic | Website,2023,All Blacks,FB,Short Video,Archives,RWC,RWC Archives,https://www.facebook.com/reel/225374457181740/,rieko is speed 🏎️ #rwc2023 #allblacks,,0.0,0.0,0.0
